name,lat,lon,pop,rank
Orlando,28.512,-81.382,1350000,4
Ghaziabad,28.662,77.406,1341000,4
Mosul,36.347,43.143,1316000,4
Mandalay,21.972,96.083,1300000,4
Mbuji-Mayi,-6.148,23.598,1295000,4
Adana,36.997,35.318,1293000,4
Jabalpur,23.177,79.953,1285000,4
Chifeng,42.272,118.948,1277000,4
Huaiyin,33.585,119.066,1264000,4
Rajkot,22.312,70.798,1260000,4
Dhanbad,23.802,86.418,1246000,4
Tianshui,34.602,105.918,1225000,4
Liupanshui,26.596,104.831,1221000,4
Vila Velha,-20.338,-40.29,1209091,4
Rosario,-32.949,-60.668,1203000,4
Allahabad,25.457,81.838,1201000,4
Benin City,6.342,5.618,1190000,4
Maceió,-9.618,-35.732,1186000,4
Austin,30.269,-97.745,1161000,4
Torreón,25.572,-103.422,1144000,4
Srinagar,34.069,74.828,1140000,4
Vijayawada,16.522,80.628,1137000,4
Omsk,54.992,73.398,1135000,4
Yulin,22.632,110.148,1127000,4
Aurangabad,19.862,75.329,1113000,4
Ankang,32.68,109.02,1100000,4
Chelyabinsk,55.157,61.437,1091000,4
Natal,-5.778,-35.242,1088000,4
Sholapur,17.672,75.898,1057000,4
Rostov,47.237,39.711,1052000,4
Dnipro,48.482,34.998,1050000,4
Ranchi,23.372,85.328,1044000,4
São Luís,-2.514,-44.268,1038000,4
Port Harcourt,4.812,7.008,1020000,4
Jiamusi,46.832,130.348,1020000,4
Bridgeport,41.182,-73.202,1018000,4
Hengyang,26.882,112.588,1016000,4
Medina,24.502,39.578,1010000,4
Da Nang,16.06,108.25,1000000,4
Baoshan,25.12,99.15,1000000,4
Ahvaz,31.282,48.718,996000,4
Jodhpur,26.294,73.015,995000,4
San Luis Potosí,22.172,-101.002,992000,4
Odessa,46.492,30.708,991000,4
Jacksonville,30.332,-81.672,988000,4
Donetsk,48.002,37.828,988000,4
Guwahati,26.162,91.768,983000,4
Chandigarh,30.722,76.778,979000,4
Gwalior,26.2,78.169,978000,4
Jixi,45.302,130.968,965000,4
Thiruvananthapuram,8.516,76.925,954000,4
Ogbomosho,8.132,4.238,951000,4
Tiruchirappalli,10.801,78.688,951000,4
General Santos,6.111,125.175,950530,4
Tulsa,36.12,-95.93,946962,4
Djibouti,11.595,43.148,923000,4
Konya,37.877,32.473,919000,4
Richmond,37.552,-77.452,912000,4
Teresina,-5.093,-42.782,907000,4
Naha,26.207,127.673,905238,4
Albuquerque,35.105,-106.641,898642,4
Maiduguri,11.852,13.158,896000,4
Hubballi,15.362,75.123,890000,4
Mysuru,12.312,76.658,887000,4
Mexicali,32.652,-115.482,885000,4
Tongliao,43.622,122.268,884000,4
Bilbao,43.25,-2.93,875552,4
Raipur,21.237,81.633,875000,4
